"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy","Partner Economy Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade - indices and prices","ITS_MTP_QXV","Merchandise export volume indices, not seasonally adjusted - quarterly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","Q3","Third Quarter","Q","Quarterly","ID05Q1","Index - (2005Q1=100)","2017","E","Estimate","","170.4"
"Merchandise trade - indices and prices","ITS_MTP_QXV","Merchandise export volume indices, not seasonally adjusted - quarterly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","Q3","Third Quarter","Q","Quarterly","ID05Q1","Index - (2005Q1=100)","2019","E","Estimate","","194.2"
"Merchandise trade - indices and prices","ITS_MTP_QXV","Merchandise export volume indices, not seasonally adjusted - quarterly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","Q3","Third Quarter","Q","Quarterly","ID05Q1","Index - (2005Q1=100)","2016","E","Estimate","","165.1"
"Merchandise trade - indices and prices","ITS_MTP_QXV","Merchandise export volume indices, not seasonally adjusted - quarterly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","Q3","Third Quarter","Q","Quarterly","ID05Q1","Index - (2005Q1=100)","2014","E","Estimate","","149.6"
"Merchandise trade - indices and prices","ITS_MTP_QXV","Merchandise export volume indices, not seasonally adjusted - quarterly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","Q3","Third Quarter","Q","Quarterly","ID05Q1","Index - (2005Q1=100)","2015","E","Estimate","","164.2"
"Merchandise trade - indices and prices","ITS_MTP_QXV","Merchandise export volume indices, not seasonally adjusted - quarterly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","Q3","Third Quarter","Q","Quarterly","ID05Q1","Index - (2005Q1=100)","2013","E","Estimate","","140.8"
"Merchandise trade - indices and prices","ITS_MTP_QXV","Merchandise export volume indices, not seasonally adjusted - quarterly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","Q4","Fourth Quarter","Q","Quarterly","ID05Q1","Index - (2005Q1=100)","2013","E","Estimate","","144.6"
"Merchandise trade - indices and prices","ITS_MTP_QXV","Merchandise export volume indices, not seasonally adjusted - quarterly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","Q4","Fourth Quarter","Q","Quarterly","ID05Q1","Index - (2005Q1=100)","2015","E","Estimate","","170.4"
"Merchandise trade - indices and prices","ITS_MTP_QXV","Merchandise export volume indices, not seasonally adjusted - quarterly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","Q4","Fourth Quarter","Q","Quarterly","ID05Q1","Index - (2005Q1=100)","2016","E","Estimate","","173.8"
"Merchandise trade - indices and prices","ITS_MTP_QXV","Merchandise export volume indices, not seasonally adjusted - quarterly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","Q4","Fourth Quarter","Q","Quarterly","ID05Q1","Index - (2005Q1=100)","2014","E","Estimate","","161.5"
"Merchandise trade - indices and prices","ITS_MTP_QXV","Merchandise export volume indices, not seasonally adjusted - quarterly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","Q4","Fourth Quarter","Q","Quarterly","ID05Q1","Index - (2005Q1=100)","2017","E","Estimate","","181.6"
"Merchandise trade - indices and prices","ITS_MTP_QXV","Merchandise export volume indices, not seasonally adjusted - quarterly","484","Mexico","000","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","Q4","Fourth Quarter","Q","Quarterly","ID05Q1","Index - (2005Q1=100)","2018","E","Estimate","","192.7"
